Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments,Reef_Regime
275,10314822,Reef_Check,-23.4604,151.9292,Pacific,151.9292E.23.4604S,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Heron Island,nd,2173.19,Sheltered,0.0621,51.57,18,9,2016,7.0,Hard Coral,86.25,0.0,6.5,297.07,295.5,297.33,292.22,303.13,2.29,4.0,0.53,0.73,0.0,-4.04,2.85,6,4.12,23,4,0,2.55,14.3,1.39,-4.87,2.29,-8.14,2.75,-3.02,0,1.67,6,1,0,1.36,10.94,0.4,9/18/2016,nd,nd,nd,Healthy_Coral
6481,10326753,Donner,19.973,-87.453,Atlantic,nd,Tropical Atlantic,Belize and west Caribbean,Mexico,Quintana Roo,Zamach,PY20,1483.98,Exposed,0.0447,36.82,15,5,2006,17.6,nd,0.0,0.0,61.5,262.15,301.28,300.81,297.32,305.36,1.28,4.0,0.6,1,0.0,-3.8,4,7.5,2.94,13.75,2.5,0,1.86,11.69,1.09,-1.03,1.28,-4.97,3.04,-1.48,3.5,1.28,5.75,0.25,0,1.13,9.38,0.36,5/15/2006,nd,nd,nd,Degraded
7129,10313741,Reef_Check,-4.5908,145.8953,Pacific,145.53.43E.4.35.27N,Central Indo-Pacific,Bismarck Sea New Guinea,Papua New Guinea,Bismarck Archipelago,Momase Region,nd,56.41,Exposed,0.0434,51.32,15,8,2009,2.5,Nutrient Indicator Algae,0.0,0.0,0.02,262.15,301.49,302.02,298.48,305.42,1.05,6.0,0.16,0.96,0.0,-3.48,3.41,17.5,5.88,24.75,6.5,4.14,3.94,20.83,2.56,-1.06,1.05,-4.07,2.86,-0.52,11.25,3.8,16.25,3.5,0.25,2.44,16.13,1.21,8/15/2009,nd,nd,nd,Degraded
2832,10313053,Reef_Check,-8.2385,125.612,Pacific,125.36.43.32E.8.14.18.54S,Central Indo-Pacific,Lesser Sunda Islands and Savu Sea,East Timor,Dili,Atauro,nd,457.49,Sheltered,0.046,45.37,5,12,2017,5.0,Hard Coral,38.75,0.0,10.0,302.11,303.28,301.72,298.0,306.67,1.3,3.0,0.31,0.92,0.0,-3.02,4.33,3,5.47,26,6,1.27,3.52,19.03,2.45,0.31,1.3,-4.96,3.69,-1.24,0,2.11,8,2,0,2.04,12.61,0.91,12/5/2017,nd,nd,nd,Transitional
8319,10321331,Reef_Check,10.1222,99.835,Pacific,99.50.099E.10.07.333N,Central Indo-Pacific,Gulf of Thailand,Thailand,Surat Thani,Ko Pha-ngan District,nd,109.09,Sheltered,0.0568,50.27,13,2,2010,9.0,Nutrient Indicator Algae,0.0,0.0,0.0,302.65,302.86,302.0,297.17,306.89,1.37,3.0,1.72,1.01,0.0,-3.57,3.74,9,6.05,25,8,7.21,4.06,25.94,2.98,-0.67,1.37,-6.35,3.35,-1.52,0,2.07,10,1,0,1.92,21.64,0.56,2/13/2010,nd,nd,nd,Degraded
1116,10313775,Reef_Check,-16.4375,145.9922,Pacific,145.59.53E.16.26.25S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Norman Reef,nd,47718.11,Sheltered,0.0622,60.01,3,3,2010,5.0,Hard Coral,45.0,0.0,22.5,300.4,303.66,299.63,294.73,305.7,1.97,5.0,1.95,0.85,0.0,-3.64,4.17,14,6.11,32,5,5.04,3.17,20.23,1.97,1.51,1.97,-7.41,3.54,-2.51,3,1.46,6,1,3.64,1.25,7.36,0.46,3/3/2010,nd,nd,nd,Transitional
998,10323228,Donner,-16.5475,145.4975,Pacific,nd,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Alexandra Reefs,nd,417.33,Sheltered,0.1702,45.87,15,4,1998,0.0,nd,0.0,0.0,75.0,298.71,301.25,299.52,293.29,305.48,2.53,4.0,1.08,1,0.0,-3.21,3.61,4,5.36,27,6,4.09,3.13,21.84,2.35,-1.28,2.53,-9.23,2.95,-3.0,2,1.7,7,1,2.87,1.28,8.4,0.49,4/15/1998,nd,nd,Bleaching percent averaged from code: Severe (>50% Bleached),Degraded
5793,10325222,Donner,6.05,100.04,Pacific,nd,Central Indo-Pacific,Andaman Sea,Malaysia,Kedah,Pulau Payar,nd,824.12,Sheltered,0.1509,48.64,15,9,1998,0.0,nd,0.0,0.0,75.0,303.14,303.77,303.08,298.72,306.89,1.24,2.0,0.53,1,0.0,-3.58,3.21,13,5.33,31,7,3.75,3.51,21.54,2.5,-0.53,1.24,-5.57,2.58,-1.21,5,2.45,12,1,1.43,1.83,19.43,0.62,9/15/1998,Acropora spp; massive corals especially patches of Porites,Acropora spp; massive corals especially patches of Porites,Bleaching percent averaged from code: Severe (>50% Bleached),Degraded
3916,10309903,Reef_Check,-7.7886,114.432,Pacific,114.25.55.3E.7.47.19S,Central Indo-Pacific,Lesser Sunda Islands and Savu Sea,Indonesia,East Java,Situbondo Regency,nd,335.62,Sheltered,0.0,49.05,20,11,2005,3.0,Nutrient Indicator Algae,0.0,0.0,0.0,302.45,304.01,301.96,298.22,305.25,1.08,2.0,1.37,0.87,0.0,-3.09,2.59,4,5.94,28,5,0,3.63,22.25,2.03,1.25,1.08,-4.53,2.49,-0.79,1,2.94,13,2,0,1.84,16.84,0.67,11/20/2005,nd,nd,nd,Degraded
2939,10316992,Reef_Check,27.9667,34.4167,Red Sea,34.25E.27.58N,Western Indo-Pacific,North and central Red Sea,Egypt,South Sinai Governorate,Sharm El-Sheikh,nd,104.27,Sheltered,0.0,47.9,29,6,2000,10.0,Hard Coral,27.5,0.0,0.0,300.66,298.07,298.17,292.02,304.04,2.32,7.0,-1.68,1.03,0.0,-4.3,3.14,7,6.29,33,7,0,3.95,25.46,2.66,-2.97,2.32,-9.01,3,-2.86,4,2.28,9,2,0,1.96,12.93,0.74,6/29/2000,nd,nd,nd,Degraded
8783,10320402,Reef_Check,25.0342,-80.3472,Atlantic,80.20.839W.25.02.047N,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,nd,10205.41,Exposed,0.0527,60.51,21,6,2005,14.0,Nutrient Indicator Algae,15.0,0.0,3.0,302.72,301.54,299.87,293.78,305.52,2.3,3.0,-0.06,0.87,0.0,-3.54,2.97,1,4.96,26,5,1.23,2.59,14.93,1.91,-1.45,2.3,-9.21,2.52,-3.11,0,1.34,8,0,0,0.93,10.01,0.21,6/21/2005,nd,nd,nd,Degraded
3428,10318044,Reef_Check,-21.0854,55.2206,Indian,55.13.14.09E.21.5.7.55S,Western Indo-Pacific,Mascarene Islands,France,Reunion,La Saline,nd,493.16,Exposed,0.0252,53.25,27,1,2012,7.0,Hard Coral,19.38,0.0,0.0,301.15,301.01,298.82,295.13,303.0,1.84,6.0,0.01,0.63,0.0,-2.54,2.58,15,3.86,19,2,1.26,1.88,12.72,0.91,-0.21,1.84,-6.08,1.77,-2.39,2,0.78,3,0,0,0.51,3.62,0.13,1/27/2012,nd,nd,nd,Degraded
15730,10311480,Reef_Check,23.5117,119.5989,Pacific,119.35.55.9E.23.30.42.1N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Penghu County,nd,Shanshui Eastside Bay,32.2,Sheltered,0.0912,51.17,19,9,2019,5.0,Nutrient Indicator Algae,0.0,0.0,0.0,297.78,298.96,297.68,289.14,303.04,2.51,7.0,1.34,2.5,0.0,-7.18,5.46,24,4.08,28,20,37.2,13.22,52.41,12.03,1.13,2.51,-8.68,5.21,-0.14,24,4.27,27,20,34.43,12.27,49.7,11.1,9/19/2019,nd,nd,nd,Degraded
8238,10321343,Reef_Check,10.1228,99.835,Pacific,99.50.099E.10.7.366N,Central Indo-Pacific,Gulf of Thailand,Thailand,Surat Thani,Ko Pha-ngan District,nd,182.74,Sheltered,0.0568,50.27,30,6,2014,5.0,Nutrient Indicator Algae,15.0,0.0,27.5,302.07,302.25,302.06,297.17,306.79,1.35,7.0,-0.43,0.99,0.0,-3.58,3.76,2,5.81,26,7,3.21,3.86,24.69,2.71,-1.35,1.35,-6.42,3.18,-1.53,2,1.87,8,1,2.79,1.74,18.26,0.51,6/30/2014,nd,nd,nd,Degraded
